D000070896,C26.404.625.500
D000070896,C26.803.250.500
D000071017,C10.228.590
D000071056,C06.198.025
D000071056,C16.131.314.047
D000071057,C10.228.662.262.500.500
D000071057,C10.597.350.275.500
D000071057,C23.888.592.350.275.500
D000071064,C23.888.369.500.250
D000071067,C01.748.610.608
D000071067,C08.381.677.608
D000071067,C08.730.610.608
D000071069,C23.550.291.500.500
D000071070,C16.320.298
D000071070,C17.800.463.375
D000071070,C18.452.584.718.625
D000071071,C14.907.055.817
D000071072,C10.228.140.021
D000071074,C01.757.580
D000071074,C16.614.627
D000071074,C23.550.470.790.500.470
D000071075,C10.668.829.860
D000071078,C14.907.798
D000071079,C14.907.137.825
D000071243,C01.920.500.990
D000071243,C01.925.081.990
D000071243,C01.925.782.350.250.990
D000071257,C10.597.606.337.500.500
D000071257,C23.550.767.181
D000071257,C23.888.592.604.339.500.500
D000071297,C01.221.250.875.044
D000071297,C01.221.812.640.400.044
D000071297,C01.778.640.400.044
D000071297,C01.925.782.815.616.400.044
D000071297,C01.925.813.400.044
D000071297,C12.100.937.640.400.044
D000071297,C20.673.480.044
D000071298,C23.550.260.127
D000071378,C05.330.488.050
D000071380,C04.557.450.565.590.340.705
D000071380,C05.360.375
D000071380,C05.651.197.369
D000071380,C17.300.349
D000071380,C17.800.321.063
D000071562,C26.404.038
D000071576,C26.257
D000071697,C23.888.885.281
D000071698,C18.452.394.750.714
D000071698,C19.246.656
D000071698,C20.111.576
D000071699,C09.218.568.900.442
D000071699,C10.597.057
D000071699,C23.888.592.057
D000071700,C11.270.152
D000071700,C11.768.585.658.250
D000071700,C16.320.290.152
D000071896,C23.888.541
D000071956,C26.891.375.750
D000071956,C26.974.250.875
D000071960,C04.557.470.200.240.187
D000071960,C04.588.180.130
D000071960,C17.800.090.500.130
D000072039,C05.550.518.336
D000072039,C26.289.336
D000072039,C26.404.026
D000072042,C05.550.518.336.875
D000072042,C26.289.336.875
D000072042,C26.404.026.500
D000072281,C15.604.338
D000072656,C15.604.496.160
D000072656,C23.550.767.082
D000072657,C14.280.647.500.875
D000072657,C14.907.585.500.875
D000072657,C23.550.513.355.750.875
D000072657,C23.550.717.489.750.875
D000072658,C14.280.647.500.469
D000072658,C14.907.585.500.656
D000072658,C23.550.513.355.750.469
D000072658,C23.550.717.489.750.469
D000072659,C10.228.140.617.738.275
D000072659,C19.700.419
D000072660,C12.100.500.430.877
D000072660,C12.100.750.700.877
D000072660,C12.200.294.430.877
D000072661,C16.131.077.245
D000072661,C16.320.184
D000072662,C23.149.625
D000072663,C23.300.940
D000072676,C07.160
D000072716,C23.888.592.612.212
D000072717,C23.300.955
D000072736,C25.100.844
D000072742,C01.150.703.492
D000072836,C26.859
D000072837,C23.550.210.310
D000073296,C23.550.291.898
D000073376,C10.228.140.490.493
D000073397,C24.580
D000073436,C23.300.818
D000073496,C23.550.359
D000073605,C01.150.252.400.789.725.400
D000073605,C01.920.930.887
D000073617,C08.381.520.500.500
D000073617,C15.378.962.500
D000073617,C20.920.500
D000073618,C01.925.256.466.930
D000073818,C23.888.592.612.860
D000073839,C10.597.606.360.835
D000073839,C14.240.400.970
D000073839,C14.280.400.970
D000073839,C16.131.077.919
D000073839,C16.131.240.400.965
D000073839,C16.131.260.923
D000073839,C16.320.180.923
D000073842,C14.240.400.975
D000073842,C14.280.400.975
D000073842,C16.131.077.929
D000073842,C16.131.240.400.968
D000073842,C16.131.260.932
D000073842,C16.320.180.932
D000073872,C14.240.850.992
D000073872,C14.907.109.239.825
D000073872,C16.131.240.850.984
D000073923,C23.888.821.387
D000074009,C04.557.470.035.175.900
D000074009,C04.557.470.550.175.900
D000074021,C14.280.067.558.430
D000074021,C14.280.123.500.430
D000074021,C23.550.073.425.270
D000074042,C10.228.140.300.535.200.600
D000074042,C14.907.253.573.200.600
D000074042,C23.550.414.913.100.600
